"#Indicate if it is a testcase here by putting ""Testcase""",AI Movement Points,Ai Hit points,AI melee attack damage,Ai movement speed,Player movement points,player hit points,player melee attack dmg,player ranged attack dmg,player minimum distance for ranged attack,player maximum range for ranged attack,player movement speed,map size,wall chance,number of enemies,Number of times to run,output file name
Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0,3,500,aftertesting1.txt
Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.5,3,500,aftertesting2.txt
Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.33,3,500,aftertesting3.txt
Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.33,4,500,aftertesting4.txt
Testcase,1,20,10,50,2,100,10,10,1,3,10,5,0.33,5,500,aftertesting5.txt
Testcase,1,20,10,50,2,100,20,10,1,3,10,5,0.33,5,500,aftertesting6.txt
Testcase,1,20,10,50,2,90,20,10,1,3,10,5,0.33,5,500,aftertesting7.txt
Testcase,1,20,10,50,2,80,20,10,1,3,10,5,0.33,5,500,aftertesting8.txt
Testcase,1,20,10,50,2,70,20,10,1,3,10,5,0.33,5,500,aftertesting9.txt
Testcase,1,20,10,50,2,60,20,10,1,3,10,5,0.33,5,500,aftertesting10.txt
Testcase,1,20,10,50,2,50,20,10,1,3,10,5,0.33,5,500,aftertesting11.txt
